DPR412_classification,construction_year,latitude,longitude,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
4,1280,44.32321248,7.71461861,2617,2,1484.4319,3249.81,1608.8,107.0,15285.29,753.82,493.86,262.21,1.3108,1.2613,0.2398,1647646.02,0.5839,90.67,1,638.26,2020,211.0639,508435.15,694440.36,3720.5418549,0,0.50217762,0.0,29.8424,37.5805,0.0,251.2299,11.2825,9.501050472401792,2.045,23888.387492502476,53.626666666666665,19.56154322,True,6.251940264136303
6,1915,44.91798481,7.22921053,2610,,354.4382,2049.55,440.73,251.28,6020.48,14941.02,4903.33,39.41,1.061,2.9604,0.1479,452534.02,0.3791,54.36,0,295.57,2018,87.8705,48073.05,162810.36,0.0,2,0.64154625,0.0,0.0,67.3877,0.0,138.8518,0.0,13.660245501781134,4.204,9021.494147358055,14.691,106.38204988,True,4.34838451419156
13,1980,45.10808177,7.76577164,2636,0,655.6159,1633.32,646.69,0.0,3427.4,0.0,1459.57,99.71,0.817,3.91,0.1372,366897.23,0.493,22.61,1,239.36,2020,185.0483,140168.01,634752.08,0.0,0,0.91082167,0.0,0.0,34.9452,0.0,241.0219,34.2572,5.299911858850454,5.304,5984.421518522288,21.556333333333335,31.646695799999996,True,11.207733558965982
12,2008,45.07667749,7.48142164,2617,0,476.8556,1097.9,234.58,317.74,2334.34,103.03,434.26,64.67,0.599,3.8614,0.6387,134571.67,1.7237,0.02,4,64.17,2020,296.1452,53423.02,53097.57,2383.62696005,0,0.74582204,0.0,15.4359,42.828,0.0,778.1832,44.6596,9.951146730326542,0.764,3649.6542153847786,7.819333333333334,10.19676956,True,5.969161304694261
4,1985,44.98666604,7.62865391,2617,0,5722.0217,1514.96,43.31,0.0,599.64,0.0,141.21,12.32,1.6276,4.7065,0.026,15894.43,0.4324,0.09,1,361.19,2021,408.6362,10539.63,10343.09,443.54405852,0,0.30797543,0.0,0.0,31.7537,0.0,354.0683,8.1025,13.84530131609328,0.584,934.7263690645589,1.4436666666666667,5.75634952,True,4.290264158495098
6,1968,45.04980177,7.47701094,2617,0,857.193,2406.77,835.07,0.0,7552.44,0.0,2427.7,168.09,0.3755,0.9172,0.2051,376478.59,0.4569,10.0,0,283.36,2022,278.8555,354442.44,375936.22,0.0,0,4.03771063,0.0,0.0,16.6066,0.0,583.9857,0.0,9.044080136994502,1.614,11903.13386831796,27.83566666666667,21.31546996,True,6.567832117832118
7,1996,45.0099248,7.60969267,2741,0,154.6834,2878.81,146.08,31.75,459.13,19933.37,25.56,28.61,1.2663,1.6192,0.2434,66390.11,0.4314,4.29,31,33.91,2017,124.0395,49553.39,45174.13,0.0,0,6.32162877,0.0,0.0,113.4583,0.0,340.6664,264.4024,3.1430038335158814,2.493,937.5428099501601,4.8693333333333335,1.5738387999999999,True,18.899117896891948
13,1980,45.41510816,8.39558634,2815,0,1229.0932,4961.99,1226.08,872.98,9858.51,10280.4,4606.34,117.57,0.7586,2.8757,0.1418,192107.85,0.6017,153.46,0,654.88,2005,186.6678,165096.49,341067.9,17449.63002489,1,2.5220287,0.2122,0.0,21.5586,0.0,307.0257,0.0,8.040674344251599,1.49,15820.556441637405,40.86933333333333,76.64931146,True,7.387440089831019
6,1980,44.92727016,8.44470242,4145,,148.9631,1608.05,153.98,0.0,506.45,0.0,600.21,97.56,0.4515,2.6607,0.4924,103354.86,0.3123,26.29,1,134.73,2021,38.5322,60760.81,133768.82,0.0,0,1.0018783,0.0,0.0,21.0719,0.0,170.3559,9.9283,3.2890635147421743,22.546,1018.1603688388001,5.132666666666666,10.611454140000001,True,18.0598519103564
5,1991,44.78875194,8.56049705,2617,,1678.5704,722.07,370.12,0.0,1987.87,0.0,991.08,223.96,1.5252,3.8085,0.3334,281347.87,0.5302,0.0,19,264.37,2016,147.7642,11643.08,105024.51,0.0,1,0.5382627,0.0,0.0,76.8767,4.8388,315.5704,6.4477,5.3708797146871285,1.92,3467.0980655006506,12.337333333333333,47.29093752,True,11.059640720972702
6,1991,44.89876053,7.72032813,2590,,664.647,609.65,126.69,0.0,707.3,0.0,592.71,17.76,1.3408,2.8057,0.1275,541276.69,0.4361,24.24,1,422.69,2019,259.264,513114.46,92434.71,0.0,0,0.301578,0.0,0.0,13.7538,0.0,257.3249,0.0,5.582918935985476,2.814,1233.8193769629952,4.223,16.890696000000002,True,10.639595645412133
13,1904,45.22970309,7.76815979,2472,0,2311.0493,2084.1,2390.12,0.0,15441.86,0.0,5641.53,434.99,1.035,2.0995,0.0341,1473647.64,0.4881,207.65,0,206.73,1994,232.4377,524841.57,489765.52,3409.22239977,2,1.00603609,2.6902,0.0,49.9431,0.0,425.5994,41.1618,6.460704901845933,0.882,25777.85808369778,79.67066666666666,135.04490109999998,True,9.194043204639854
13,1960,44.49130559,8.21715296,2558,,296.1822,1752.06,511.84,0.0,4899.67,0.0,1530.9,107.52,0.3391,1.678,0.3977,477133.01,0.4351,53.44,1,110.36,2023,246.5066,128390.55,126772.44,6967.86427281,2,0.52801196,0.617,0.0,114.4601,0.0,183.4488,0.177,9.572659424820257,1.005,7668.614102305469,17.061333333333334,13.990935,True,6.205172185065525
7,1973,45.14463907,8.55013552,2780,0,1655.1242,616.18,246.49,0.0,1686.17,0.0,575.88,53.95,1.469,1.5019,0.1403,98641.2,0.9748,31.76,0,50.13,2003,223.2067,36811.24,74325.48,0.0,0,1.79305324,0.0,0.0,151.191,0.0,439.9304,0.0941,6.840723761613047,1.351,2801.8551170212736,8.216333333333333,18.539904500000002,True,8.683291720289176
7,1981,44.39794809,7.75847375,3016,0,164.7576,654.73,561.8,368.09,1726.66,316.77,1009.16,92.05,0.3621,2.5822,0.1724,122372.48,0.5303,0.03,4,28.85,2023,241.4137,223378.51,102065.55,26.06787532,2,6.92553741,228.939,54.3514,147.1517,0.0,811.3254,11.3753,3.0734425062299753,0.753,3526.489474805512,18.726666666666667,12.06216692,True,19.326862265877473
12,1988,45.62001083,7.76872289,2426,0,587.5511,2144.93,570.63,896.17,4434.52,4444.0,5238.79,105.94,0.3261,1.4202,0.7488,336534.45,0.3227,64.0,1,419.94,2021,220.9917,205901.16,175789.98,0.0,0,0.3013081,0.0,0.0,53.7087,0.0,424.4245,50.9209,7.771270350314565,1.394,7170.160400198231,19.021,37.176508139999996,True,7.643537970287651
5,2019,45.60372344,7.76119671,2636,-1,2435.6157,975.52,860.18,0.0,4506.68,0.0,211.04,136.59,1.1193,1.1014,0.4593,290467.42,0.6157,0.01,1,870.99,2021,221.3037,150263.02,187662.49,1277.04070097,0,0.50285527,0.0,0.0,0.0,0.0,305.2582,35.2604,5.239228998581693,0.986,7885.013655987993,28.672666666666665,7.73314596,True,11.337546042763186
13,1965,45.10946816,7.76334887,2541,,923.5465,6127.46,448.94,83.42,16972.68,891.22,6312.84,393.36,0.6545,4.8978,0.524,1402956.27,0.3422,152.92,1,319.04,2021,172.2252,612408.83,423655.14,0.0,0,0.7647248,0.0,0.0,74.0733,0.0,214.6832,21.3632,37.80612108522297,5.479,23714.62161906962,14.964666666666666,121.16704776,True,1.5711741457448087
8,1996,44.66047249,7.68021495,2617,0,203.044,677.22,533.98,121.87,2521.8,0.0,839.26,59.11,0.5581,5.624,0.5992,290850.6,0.5972,34.76,1,140.15,2015,67.1206,149711.13,41594.25,1075.8593046,1,0.82168825,0.0,0.0,56.956,0.0,113.6693,89.4919,4.722648788344133,1.161,4531.454923109219,17.799333333333333,16.01651292,True,12.577687366167025
6,1990,45.08071533,8.58518444,2622,4,380.7259,1753.69,387.07,590.96,1855.03,1113.51,1925.22,90.52,0.8836,3.6117,0.0878,83297.36,0.6137,21.61,0,90.55,2020,377.4313,42557.93,150350.72,0.0,0,0.64019278,0.0,0.0,41.0796,0.0,634.7515,45.9073,4.792492314051722,1.029,3324.902205624326,12.902333333333333,40.56110952,True,12.39438607461874
8,1977,45.32078918,7.6895371,2601,0,122.502,645.82,166.91,392.11,1150.01,535.06,354.22,81.16,1.5611,2.3847,0.0064,55871.38,0.821,0.05,4,22.21,2014,202.1719,140793.4,74075.35,769.75417485,0,3.29840367,0.0,98.6769,1.053,0.0,1052.8219,13.5481,6.890000599125277,2.195,1915.0080638128798,5.563666666666666,14.930301879999998,True,8.621189380961907
13,1960,44.70081297,7.77066204,2539,,306.6815,2516.51,1518.95,1589.38,7897.15,9883.56,10321.42,391.34,0.9317,2.1613,0.0107,337153.72,0.4271,92.24,1,1107.12,2017,244.4367,220362.87,222054.54,0.0,0,1.06855606,0.0,47.8536,54.5038,3.5916,480.0785,3.2809,5.199084894170315,0.598,13830.301518248401,50.63166666666667,209.24540312,True,11.425087531577848
13,1991,45.58770661,8.02514844,2552,,228.4354,5660.98,239.65,1940.93,23279.59,12453.02,7535.91,630.31,0.8856,3.6316,0.1559,1740190.26,0.4475,12.63,1,2045.59,2000,173.7835,1002751.95,434509.26,0.0,2,0.30138387,53.8126,6.4089,46.3254,0.0,238.9496,0.9135,97.13995409972877,10.433,31849.185986330198,7.988333333333333,179.25671384,True,0.6114888621320221
4,1980,45.02995466,0.0,4015,6,917.0449,675.37,741.83,2034.47,10371.16,0.0,423.56,130.85,0.8373,3.597,0.6874,796859.74,0.3648,0.06,1,448.19,2020,505.9834,283751.7,284732.28,471.25609705,2,0.50928002,38.8758,0.0,288.1832,0.0,503.464,8.6556,13.98050766348085,0.759,15474.57787957959,24.727666666666668,16.50628476,True,4.248772750589135
4,1806,44.31930776,7.94527179,2426,1,72.8166,311.92,160.11,0.0,2838.05,0.0,581.97,21.18,1.3007,3.8524,0.2427,39893.39,0.597,0.04,1,27.8,2012,155.9825,29880.82,102369.85,0.0,2,0.50157374,0.0,0.0,1129.3103,0.0,529.524,6.1207,17.725626132034225,4.099,4183.52796366742,5.337000000000001,16.77124422,True,3.3510804954105815
10,1961,45.19614672,7.86028835,3019,0,923.5046,968.65,563.72,127.5,3171.27,0.0,1292.42,102.91,1.1459,4.1066,0.4207,144376.86,0.4583,51.67,31,906.95,2018,148.5039,93745.55,86178.63,0.0,0,0.42030098,0.0,0.0,53.8387,0.0,151.6776,8.6761,5.625612005960406,1.029,5464.445208110904,18.790666666666667,38.07188568,True,10.558851185802533
11,1975,45.13672809,8.45766819,2715,0,1572.2199,3028.78,1642.02,803.57,26369.39,0.0,649.36,59.39,1.7921,3.389,0.0638,1060512.47,0.318,52.48,19,331.86,2009,211.6993,445294.92,342462.23,0.0,0,0.64021763,0.0,0.0,17.5962,0.0,429.7271,0.3598,16.059116210521186,0.985,38758.709596693574,54.734,27.299815319999997,True,3.698833685572552
13,1980,45.50537939,0.0,3125,4,2690.6635,1598.54,550.68,0.0,2054.33,0.0,1745.98,135.58,0.34,3.6974,0.3766,1481314.75,0.3811,65.37,1,217.9,2019,307.7564,122307.57,120607.88,0.0,2,0.64870715,0.0,0.0,11.7114,0.0,302.3167,0.1662,3.7305331590034143,0.712,3941.3038475390254,18.355999999999998,21.898533840000002,True,15.92265702199744
4,1902,45.05820642,7.6947916,2617,0,51.6216,731.77,530.32,1679.73,1645.48,3962.29,611.73,297.87,0.9576,3.1167,0.4588,41389.22,0.4378,18.29,1,64.42,2019,246.9599,151558.46,296410.34,0.0,0,0.64434977,0.0,61.5225,30.9218,0.0,193.8417,0.0,3.1028058530698446,2.263,3350.252913683241,17.677333333333333,30.283281539999997,True,19.143962855823226
13,1902,45.71672246,7.65892465,3012,0,4297.9799,1659.87,856.68,853.58,3421.37,0.0,2639.87,559.43,2.1532,4.1428,1.3002,67183.14,0.7175,0.07,0,239.61,2016,277.3121,143153.51,144846.23,6556.38322299,0,0.4868076,0.0,0.0,31.2007,0.0,201.2196,28.4629,3.99375496101228,0.61,6426.627466433425,28.555999999999997,160.03549375999998,True,14.873220961193908
5,1964,44.86628734,7.84400613,2792,,803.145,232.28,226.85,1803.07,1515.67,15911.67,214.44,639.5,1.2848,2.8537,0.1927,598030.89,0.2949,2.83,0,583.92,2004,204.9752,356000.62,222657.36,0.0,0,0.8357415,0.0,0.0,0.0,0.0,958.9785,0.0,6.681375358166189,4.788,2531.5665291752734,7.5616666666666665,42.00907324,True,8.890385110215284
13,1910,44.78742769,7.58052845,2945,,2527.2824,3682.15,1243.18,0.0,12718.62,0.0,2424.6,140.16,1.5913,2.955,0.3323,510159.49,0.6084,82.68,1,818.55,2022,210.2188,370190.14,365754.19,0.0,0,2.79229114,0.0,0.0,29.2858,0.0,352.3707,1.8241,10.2307147798388,1.4,19677.590283874404,41.43933333333334,85.44877559999999,True,5.806045938946206
13,1982,45.45033811,8.27314636,3003,0,378.3962,11787.71,2708.98,0.0,12377.08,0.0,8337.05,391.8,0.1412,4.9201,0.1197,1067946.67,0.4863,0.02,19,349.98,2014,210.3366,357566.79,354412.54,23642.52987957,2,0.72331942,62.6889,0.0,6.477,0.0,225.0504,2.4469,4.568907854616866,0.622,22375.43680108323,90.29933333333334,62.097732799999996,True,13.000918795063134
13,2007,45.06636353,7.68322428,2617,,1086.4068,1258.68,9195.0,538.08,41690.77,28251.65,9078.58,1445.95,0.6886,3.5805,0.1359,2442649.23,0.3554,363.83,1,3432.81,2016,231.1122,1406624.46,1222555.8,0.0,0,0.64734459,0.0,0.0,41.481,2.4748,268.1645,0.0,4.534069603045133,0.575,75488.15600725875,306.5,228.57468326000003,True,13.100813441440396
11,1963,44.69313302,7.51838259,2632,0,989.7879,4233.02,1018.7,0.0,8671.51,0.0,3079.36,413.06,0.4508,1.1508,0.0564,1251572.29,0.596,0.02,1,286.93,2018,131.5988,88521.6,337745.75,3643.209223,2,1.38836042,11.7843,0.0,25.2861,2.853,431.0398,11.3662,8.512329439481693,2.519,13790.785205372711,33.95666666666667,37.270498720000006,True,6.978113385096714
13,1968,45.55143974,8.1230608,2486,2,3064.5181,7317.05,396.99,0.0,6909.43,0.0,6842.03,1679.37,1.086,2.9227,0.0478,2552676.69,0.3664,510.15,5,531.66,2018,269.4858,1210840.3,1053894.68,4319.14982203,2,2.05483479,22.535,0.0,10.7393,1.3984,278.7114,0.8526,17.404544195067885,9.851,10123.393244988305,13.233,246.77478557999999,True,3.412901787846465
13,1970,44.7347951,7.75348464,2815,0,743.5637,1763.21,754.36,0.0,2512.76,0.0,1517.01,159.22,0.7589,2.723,0.0374,276430.29,0.4575,10.47,1,119.87,2010,176.8922,243252.79,87543.78,7933.62938242,0,3.06536523,0.0,0.0,22.8877,0.0,521.4793,4.4726,3.330982554748396,0.656,4991.862405028587,25.145333333333333,31.696298979999998,True,17.832576131425203
13,1983,44.55493158,7.85865854,2574,0,764.9064,2646.04,334.92,0.0,2052.67,0.0,1084.4,47.33,1.0813,3.2885,0.0064,120470.4,0.734,0.0,1,34.79,2020,270.0987,70518.95,131616.0,0.11310173,0,0.50095774,0.0,0.0,39.0436,0.0,319.3292,8.0632,6.128836737131255,1.455,3479.6417040098436,11.164,26.5641285,True,9.691888126196611
5,1945,45.08965474,7.81335069,2669,,2166.8226,5997.16,2197.35,1410.36,16235.12,18457.91,4263.97,614.94,0.9557,4.8213,0.227,600822.49,0.3564,99.44,0,332.26,2001,177.0888,332503.79,828337.63,81798.28329673,2,2.12601778,3.2804,28.8698,84.1161,3.1078,381.1,24.8179,7.3884997838305235,2.129,26421.40030555304,73.24499999999999,140.79772702,True,8.039521112255406
4,1950,45.57914253,8.53959909,3514,,570.0619,1843.56,800.1,0.0,11609.79,0.0,1670.05,465.0,0.4967,3.7998,0.0333,735124.55,0.4662,31.13,19,931.26,2017,302.5483,229814.46,567565.58,2069.78765553,2,1.50288341,0.0,0.0,21.2634,4.4584,241.271,8.2297,14.51042369703787,2.345,17253.700108300414,26.67,51.9284167,True,4.093608928326869
4,1958,44.84930795,7.33512751,2815,,180.9535,1556.8,111.38,0.0,2967.72,0.0,249.76,67.74,0.4382,2.0294,0.0681,70985.44,0.6228,6.33,1,29.85,2020,145.7052,18913.43,53224.92,0.0,0,0.40284985,0.0,0.0,2.0298,0.0,176.672,8.1328,26.64499910217274,3.28,4277.7866252134945,3.7126666666666663,4.93832776,True,2.229311390562452
13,1978,45.01050771,7.64463708,2617,,859.6143,7251.75,4634.98,5786.87,35658.88,20907.08,10042.56,810.29,0.9195,4.4173,0.4229,2090389.64,0.3551,664.66,19,2646.67,2004,116.0392,597801.95,544066.36,0.0,0,0.64384848,0.0,0.0,38.1713,0.5166,245.4142,0.4047,7.693426940353572,1.012,57592.74524206137,154.4993333333333,256.26855874,True,7.720876595114597
10,1991,44.91019469,7.64402019,2617,1,1768.432,3732.08,5001.78,0.0,15831.62,0.0,3598.19,391.66,0.7324,1.2219,0.0688,395805.12,0.3124,166.55,19,613.17,2016,116.7222,535011.99,723209.46,0.0,2,0.91642164,0.0,0.0,44.265,1.4796,268.8384,3.9827,3.1651971898004314,1.239,31936.12551405002,166.726,62.27767420000001,True,18.766603291387742
4,1990,45.02190296,8.44390418,2750,1,2947.4517,607.34,167.85,0.0,488.11,0.0,340.89,123.5,0.7507,0.8014,0.384,79500.45,0.4992,0.03,0,21.37,2009,85.7064,14016.16,13640.44,0.0,0,0.33066253,0.0,0.0,0.1321,0.0,182.4974,3.1349,2.908013106940721,0.948,1022.5617912588067,5.595,7.0975804600000005,True,20.426317838192208
11,1901,44.75224616,7.86195376,2866,,1026.9133,1585.88,1067.66,0.0,10023.66,0.0,1714.51,538.85,0.7532,1.0227,0.3247,523787.22,0.495,59.07,1,227.0,2020,243.2441,374207.56,372270.3,6977.79799822,0,3.5075358,0.0,0.0,37.3835,0.0,275.4709,8.7047,9.388438266863982,1.433,15702.170431079663,35.58866666666667,36.849016539999994,True,6.326930881534291
4,1972,45.75791989,8.46353606,2561,2,27.2646,3461.57,111.48,1018.28,4436.87,4323.37,905.27,117.29,0.8341,4.3153,0.0518,75836.74,0.8848,0.11,1,89.06,2009,275.288,83386.12,83689.01,242.81211764,0,0.50292231,0.0,0.0,0.0,0.0,458.3983,10.4908,39.7996950125583,2.727,6276.333658681086,3.716,25.224544879999996,True,1.4924737483856865
13,1967,45.59052628,8.5708724,2667,0,2043.0473,10087.53,691.25,0.0,4003.6,0.0,968.3,82.6,0.6034,3.953,0.0362,171039.39,0.6021,17.27,4,416.74,2020,302.1233,241460.9,174774.36,0.0,2,2.58518989,0.0,0.0,33.3496,0.0,251.6192,0.2895,5.791826401446654,0.837,6850.537882305114,23.041666666666668,18.2158004,True,10.255832250974123
4,1922,45.00279993,7.75392748,3974,2,459.742,1674.2,527.87,158.19,1511.92,635.43,810.25,67.37,1.2148,2.0632,0.1141,160150.76,0.6411,24.94,1,311.03,2011,201.5425,95532.03,95359.53,0.0,0,0.30225132,0.0,17.6354,129.7921,0.0,227.6655,8.3401,2.864190046791824,0.896,3166.1582290551046,17.595666666666666,22.46578968,True,20.738847293507593
13,1768,44.36668748,7.71490323,2709,,2268.84,3164.61,3200.26,0.0,18101.07,0.0,3441.18,123.99,1.7822,3.407,0.2329,747313.87,0.4189,196.83,1,343.83,2017,237.0131,1113291.32,1267851.82,0.0,0,1.17320672,0.0,0.0,34.7169,9.2019,342.1781,0.6294,5.656124814858792,1.672,31073.22093258411,106.67533333333334,131.10609852,True,10.501889888277324
13,1978,44.57805904,7.76614781,2948,,447.1558,960.92,145.91,0.0,3448.6,0.0,2611.07,75.55,1.0411,1.657,0.0997,444632.52,0.82,34.77,0,6105.95,1998,208.3869,36783.16,35566.54,304.75146795,0,0.83272786,0.0,0.0,42.5954,0.0,199.3518,23.6818,23.635117538208483,1.17,4984.611476645633,4.863666666666666,56.87142654,True,2.5132094183146787
